;waster_water_treatment;environmental_health;environmental_performance_index;marine_protected_areas;economic_policy_performance;economic_performance;total_export;political_corruption
0;0.0;52.09000015258789;39.70000076293945;;;4.0;6.567699909210205;0.8655555844306946
1;60.15999984741211;80.80000305175781;72.36000061035156;77.19999694824219;;6.0;28.23090744018555;0.6332576274871826
2;82.48999786376953;76.22000122070312;72.08999633789062;41.04999923706055;;7.0;30.46299743652344;0.5797840356826782
3;;;;;;;;
4;0.0;55.06000137329102;50.91999816894531;22.46999931335449;;6.0;47.99869155883789;0.8180223107337952
5;11.36999988555908;88.7699966430664;65.80999755859375;58.0099983215332;;;46.356956481933594;
6;69.16000366210939;81.37000274658203;83.08000183105469;;;6.0;43.26092147827148;0.9429960250854492
7;66.94000244140625;94.27999877929688;79.94000244140625;81.51000213623047;;5.0;14.40981864929199;0.5052914023399353
8;97.87999725341795;98.72000122070312;87.70999908447266;100.0;5.844687938690186;;20.81688690185547;0.0648172423243523
9;97.16000366210938;84.12999725341797;85.45999908447266;;6.261831760406494;;53.01616287231445;0.0663291588425636
10;11.36999988555908;92.18000030517578;70.61000061035156;59.599998474121094;;;42.49245834350586;
11;91.66000366210938;71.58999633789062;69.81999969482422;94.83999633789064;;8.0;96.05075073242188;
12;0.0;42.02999877929688;43.790000915527344;92.15000152587892;;7.0;18.98966026306152;0.8427209258079529
13;70.76000213623047;81.37999725341797;81.5199966430664;;;5.0;28.56513786315918;0.8310825824737549
14;11.36999988555908;86.80000305175781;56.900001525878906;13.989999771118159;;;36.83460998535156;0.1012188345193863
15;94.98999786376952;74.26000213623047;78.97000122070312;100.0;6.396289825439452;;83.20372009277344;0.0372093133628368
16;0.0;66.80000305175781;63.97999954223633;;;7.0;36.28463745117188;0.1568534672260284
17;54.38000106811523;78.18000030517578;70.77999877929688;;;8.0;43.29308700561523;0.6203659772872925
18;0.0;84.0;60.81999969482422;;;5.0;34.13704299926758;0.6111775636672974
19;41.040000915527344;72.9800033569336;70.7699966430664;;;8.0;60.8301887512207;0.1533257365226746
20;76.2300033569336;87.19000244140625;79.87000274658203;95.27999877929688;;6.0;11.011961936950678;0.4161379933357239
21;50.22000122070313;83.83000183105469;74.16000366210938;99.16000366210938;;;60.47120666503906;
22;0.0;61.61999893188477;46.52999877929688;47.93000030517578;;;51.45209121704102;0.5277641415596008
23;37.84000015258789;78.37000274658203;65.52999877929689;26.86000061035156;;;68.61949920654297;
24;88.58999633789062;80.69999694824219;80.7699966430664;33.990001678466804;4.537433624267578;6.0;65.01240539550781;0.3839959502220154
25;0.0;52.0099983215332;49.0099983215332;43.4900016784668;;5.0;20.09033966064453;0.5623646378517151
26;0.0;38.650001525878906;42.36999893188477;;;4.0;7.7681827545166025;0.8958621025085449
27;66.36000061035156;83.79000091552734;80.52999877929688;;;4.0;54.94100570678711;0.3936856985092163
28;0.0;58.900001525878906;51.2400016784668;39.75;;7.0;62.32284164428711;0.8324848413467407
29;0.0;54.45000076293945;57.150001525878906;93.51000213623048;;6.0;21.73535919189453;0.9275065064430236
30;89.75;94.70999908447266;84.5999984741211;74.93000030517578;6.963398456573486;;31.58058738708496;0.0310039985924959
31;19.39999961853027;69.81999969482422;51.13999938964844;0.0;;;40.361122131347656;0.2011344581842423
32;0.0;37.20000076293945;46.540000915527344;;;2.0;13.030092239379881;0.8028382658958435
33;0.0;72.88999938964844;66.08999633789064;45.77999877929688;;8.0;21.088764190673828;0.6185738444328308
34;0.0;28.34000015258789;37.81000137329102;;;5.0;34.161361694335945;0.9685041308403016
35;94.26000213623048;92.55999755859376;78.43000030517578;95.70999908447266;6.084116935729981;8.0;33.06085968017578;0.08854064345359801
36;78.08000183105469;59.5099983215332;66.16999816894531;71.3499984741211;;9.0;24.08001708984375;0.5473948121070862
37;65.77999877929689;73.36000061035156;70.9800033569336;79.93000030517578;;10.0;;0.3324455320835114
38;71.80000305175781;82.72000122070312;77.86000061035156;97.0199966430664;;7.0;15.936544418334961;0.5388473272323608
39;3.960000038146973;54.81000137329102;48.77000045776367;35.52999877929688;;;16.87471389770508;0.6610593199729919
40;24.98999977111816;57.93000030517578;59.83000183105469;91.6999969482422;;6.0;72.98675537109375;0.7268103361129761
41;0.0;34.02000045776367;42.11000061035156;;;5.0;33.194259643554695;0.9189690351486206
42;56.650001525878906;91.37000274658205;81.06999969482422;73.16999816894531;;8.0;32.27699661254883;0.1505229771137238
43;83.75;84.56999969482422;82.91999816894531;78.8499984741211;3.892372608184815;5.0;46.42665481567383;0.360296756029129
44;67.5;91.05999755859376;78.68000030517578;89.38999938964844;;5.0;22.08388519287109;0.4460057020187378
45;73.80999755859375;85.58999633789062;79.77999877929688;0.0;4.1447129249572745;;62.19247055053711;0.2274125665426254
46;88.9800033569336;78.23999786376953;83.48999786376953;;5.680333614349365;8.0;82.54569244384766;0.2700555324554443
47;7.625999927520753;44.13000106811523;43.72000122070313;0.0;;6.0;32.07625961303711;0.4585721790790558
48;95.72000122070312;93.31999969482422;88.29000091552734;100.0;7.568076610565186;;54.51785278320313;0.0100311581045389
49;51.95000076293945;87.20999908447266;72.54000091552734;30.63999938964844;;;41.11268615722656;
50;80.76000213623047;79.20999908447266;76.69000244140625;98.7300033569336;;7.0;25.598712921142578;0.8116464018821716
51;0.0;86.30000305175781;68.47000122070314;100.0;;7.0;27.9914608001709;0.5320346951484679
52;42.209999084472656;77.61000061035156;69.70999908447266;72.56999969482422;;6.0;25.9630012512207;0.5546302795410156
53;44.41999816894531;66.44000244140625;70.47000122070312;60.38000106811523;;;66.80699920654297;0.7949386239051819
54;0.0;36.650001525878906;45.709999084472656;;;7.0;11.64161968231201;0.604282021522522
55;0.0;47.18000030517578;35.06999969482422;0.0;;1.0;14.37634563446045;0.6795531511306763
56;90.90000152587892;95.25;88.2699966430664;100.0;6.968808650970459;9.0;83.05692291259766;0.0591903738677502
57;57.38000106811523;87.01000213623047;74.66000366210938;78.30000305175781;;;55.58879470825195;0.2571427226066589
58;93.5199966430664;97.37000274658205;90.72000122070312;100.0;7.569701671600343;;37.22222900390625;0.0354525521397591
59;92.41000366210938;88.98999786376953;87.6500015258789;100.0;5.266709804534912;;28.84412384033203;0.0798662379384041
60;0.0;65.0999984741211;40.25;57.18999862670898;;;;0.7314407229423523
61;0.0;75.66000366210938;68.05000305175781;77.76000213623047;;;44.52097702026367;0.7835410237312317
62;0.0;77.5999984741211;64.16000366210939;71.95999908447266;;6.0;42.94361877441406;0.1491229832172394
63;31.0;55.22000122070313;52.599998474121094;0.0;;;26.10351943969727;0.6106672286987305
64;98.58999633789064;82.30000305175781;84.11000061035156;100.0;7.503302574157715;;45.652015686035156;0.0415957346558571
65;43.34000015258789;53.63000106811523;58.75;50.93999862670898;;7.0;39.5235595703125;0.5908424258232117
66;27.05999946594238;73.9800033569336;62.86000061035156;100.0;;;12.401737213134771;
67;92.02999877929688;86.13999938964844;84.55000305175781;68.81999969482422;3.49899697303772;;32.50380325317383;0.2735431492328644
68;11.36999988555908;90.04000091552734;62.459999084472656;28.81999969482422;;;25.59511566162109;
69;65.19000244140625;72.37999725341797;70.04000091552734;75.51000213623047;;7.0;23.15841865539551;0.8055936098098755
70;37.20000076293945;46.08000183105469;55.15999984741211;66.16999816894531;;5.0;27.63430595397949;0.7402170896530151
71;38.540000915527344;83.5;70.62000274658203;0.0;;;46.82587814331055;0.6104096174240112
72;0.0;50.4900016784668;43.38999938964844;0.0;;3.0;18.51724243164063;0.6890931129455566
73;46.47999954223633;75.08000183105469;69.52999877929689;69.45999908447266;;6.0;47.56265640258789;0.6936790347099304
74;84.58000183105469;77.01000213623047;82.12000274658203;;4.34142541885376;7.0;88.6552734375;0.3799014687538147
75;88.19999694824219;98.79000091552734;90.31999969482422;13.989999771118159;6.464408397674561;;53.25777053833008;0.0322453863918781
76;48.40999984741211;49.04999923706055;55.0;67.51000213623047;;8.0;23.00933456420898;0.5227486491203308
77;12.6899995803833;76.5;65.61000061035156;89.86000061035156;;7.0;23.66598510742188;0.7030686140060425
78;55.90999984741211;71.62999725341797;64.81999969482422;70.0999984741211;;3.0;24.16879463195801;0.7054094076156616
79;68.61000061035156;62.18000030517578;61.540000915527344;;;3.0;41.33845138549805;0.8106383681297302
80;84.98999786376953;95.58000183105469;87.9000015258789;85.05999755859375;5.5860795974731445;;113.7867431640625;0.0863339230418205
81;96.8000030517578;77.9800033569336;78.23999786376953;37.0;6.657588005065918;;32.21319580078125;0.1267253011465073
82;92.77999877929688;83.52999877929688;84.62999725341797;96.58999633789064;4.985207080841065;;29.30651664733887;0.2448393851518631
83;35.77999877929688;56.47000122070313;59.790000915527344;55.5;;5.0;39.27465057373047;0.5251773595809937
84;62.11999893188477;87.45999908447266;77.08999633789062;73.76000213623047;;5.0;31.25835418701172;0.1984265297651291
85;87.01000213623047;85.77999877929688;81.4000015258789;65.4800033569336;5.837771892547607;;17.546379089355472;0.0986785143613815
86;74.79000091552734;88.29000091552734;72.94000244140625;;;7.0;39.341758728027344;0.840398907661438
87;76.69999694824219;74.36000061035156;70.25;;;6.0;43.33313369750977;0.5277626514434814
88;52.77999877929688;58.68999862670898;62.27999877929688;83.05000305175781;;6.0;18.29777908325195;0.6515611410140991
89;;;;;;2.0;;0.6893408894538879
90;93.15000152587892;67.7300033569336;71.25;79.38999938964844;6.675097942352295;9.0;50.275535583496094;0.190532311797142
91;81.62999725341797;62.43000030517578;63.02000045776367;51.900001525878906;;9.0;68.50599670410156;0.5756634473800659
92;58.09000015258789;77.16999816894531;72.87999725341797;;;6.0;37.44865036010742;0.7903335690498352
93;0.0;49.97000122070313;49.709999084472656;;;7.0;35.719871520996094;0.8197103142738342
94;86.61000061035156;66.52999877929689;66.48999786376953;10.30000019073486;;5.0;57.49871444702148;0.6785374283790588
95;29.15999984741211;56.77000045776367;45.38000106811523;;;6.0;34.99013519287109;0.2901219129562378
96;96.44000244140624;90.90000152587892;86.02999877929688;100.0;6.076376914978027;8.0;59.53071975708008;0.1099876388907433
97;0.0;46.52999877929688;43.58000183105469;52.83000183105469;;5.0;28.43201637268066;0.8125171065330505
98;68.05999755859375;74.73999786376953;62.68999862670898;17.15999984741211;;2.0;54.829444885253906;0.7365444898605347
99;;;;;;;;
100;82.91000366210938;86.69999694824219;84.30000305175781;100.0;6.304900169372559;8.0;80.8947525024414;0.1759810298681259
101;99.3000030517578;84.58000183105469;86.33999633789062;;6.868836879730225;;206.3016662597656;
102;0.0;31.88999938964844;36.58000183105469;64.77999877929689;;5.0;31.90790939331055;0.8803056478500366
103;0.0;46.959999084472656;49.349998474121094;;;5.0;33.70157241821289;0.6237121224403381
104;77.16000366210938;86.36000061035156;76.58999633789062;70.7300033569336;;8.0;73.79205322265625;0.4980900287628174
105;4.650000095367432;87.70999908447266;56.90999984741211;42.290000915527344;;;107.2437744140625;0.7494399547576904
106;0.0;37.790000915527344;41.2599983215332;;;6.0;23.11524772644043;0.8071940541267395
107;89.37000274658203;93.02999877929688;89.76000213623047;64.08000183105469;5.833008766174316;;149.9336395263672;
108;0.0;50.31999969482422;45.959999084472656;93.9499969482422;;7.0;39.1478271484375;0.7502929568290709
109;58.09000015258789;94.73999786376952;71.2300033569336;19.95999908447266;;8.0;51.062843322753906;0.6002151966094971
110;80.31999969482422;77.55000305175781;73.80000305175781;87.5;5.590251922607422;6.0;32.286483764648445;0.7490270733833313
111;;;;;;;;
112;53.59000015258789;68.29000091552734;67.37000274658203;;;7.0;52.24899673461914;0.6024376749992371
113;72.81999969482422;72.45999908447266;75.05000305175781;;;5.0;41.53324508666992;0.6832227110862732
114;64.5999984741211;84.73999786376953;75.94000244140625;0.0;;6.0;40.14370346069336;0.5742642283439636
115;60.81999969482422;74.55999755859375;73.58999633789062;56.349998474121094;;6.0;34.33261489868164;0.5814106464385986
116;0.0;31.18000030517578;41.68000030517578;88.44999694824219;;7.0;33.35927581787109;0.5422279238700867
117;61.47999954223633;75.94999694824219;60.209999084472656;53.7400016784668;;6.0;69.53680419921875;0.2137754857540131
118;63.38000106811523;69.93000030517578;71.20999908447266;86.52999877929688;;7.0;41.82001113891602;0.260943591594696
119;;;;;;;;
120;0.0;46.40999984741211;50.77999877929688;;;5.0;11.50508785247803;0.7462962865829468
121;99.65000152587892;78.27999877929688;80.7699966430664;100.0;6.928420066833496;;82.56536865234375;0.0354387126863003
122;27.05999946594238;66.75;57.81000137329102;24.76000022888184;;;48.55578994750977;0.4414306581020355
123;90.5199966430664;97.9499969482422;89.87000274658203;100.0;6.638016223907472;;27.90688133239746;0.0208168383687735
124;0.0;73.11000061035156;64.58000183105469;91.23999786376952;;6.0;45.00807189941406;0.6834934949874878
125;0.0;23.95000076293945;37.0099983215332;;;6.0;20.98005104064941;0.7602661252021791
126;22.55999946594238;52.36000061035156;57.86999893188477;28.81999969482422;;5.0;18.43512535095215;0.8970520496368408
127;93.88999938964844;97.97000122070312;87.69000244140625;61.13999938964844;7.7868099212646475;;38.86059951782227;0.0180580113083124
128;;;;;;;;
129;;;;;;;;
130;;;;;;;63.0772819519043;
131;16.57999992370606;53.06999969482422;52.75;74.3499984741211;;5.0;12.24258327484131;0.7950611710548401
132;72.30999755859375;86.58000183105469;79.18000030517578;80.9800033569336;;9.0;53.569786071777344;0.4806974530220032
133;0.0;50.25;47.650001525878906;58.81000137329102;;7.0;;0.6310552358627319
134;39.81999969482422;80.87000274658203;70.0199966430664;;;8.0;45.18906784057617;0.7438122630119324
135;79.87999725341797;78.3499984741211;72.66999816894531;68.16999816894531;;8.0;22.57770156860352;0.485901415348053
136;51.099998474121094;74.61000061035156;73.69000244140625;84.55999755859375;;8.0;28.9127254486084;0.6257104873657227
137;87.41000366210938;75.70999908447266;78.91999816894531;100.0;5.679311275482178;9.0;47.58900451660156;0.2201341241598129
138;85.4000015258789;96.40000152587892;88.86000061035156;76.63999938964844;4.365213394165038;;40.07437515258789;0.1292305141687393
139;0.0;41.95000076293945;48.22000122070313;98.30999755859376;;;18.81627655029297;0.9174333810806274
140;0.30000001192092896;64.48999786376953;56.02000045776367;84.05999755859375;;;5.7898497581481925;0.3732941150665283
141;90.13999938964844;65.41999816894531;68.97000122070314;46.86999893188477;;10.0;67.99807739257814;0.4767196178436279
142;74.30999755859375;76.80999755859375;80.61000061035156;97.87999725341795;4.668878078460693;8.0;41.19168472290039;0.4814346730709076
143;91.27999877929688;86.69999694824219;82.56999969482422;90.31999969482422;;5.0;27.053020477294922;0.8134194016456604
144;0.0;52.900001525878906;50.88000106811523;;;6.0;14.727405548095698;0.3735533952713013
145;;;;;;;44.00825881958008;
146;;;;;;;45.288047790527344;
147;;;;;;;25.53785705566406;
148;;;;;;;;
149;17.98999977111816;67.44999694824219;48.31999969482422;5.816999912261963;;;;0.2686776518821716
150;85.80000305175781;71.61000061035156;70.12000274658203;82.54000091552734;;7.0;46.87528991699219;0.4782599806785584
151;34.29000091552734;60.7400016784668;64.41000366210939;80.45999908447266;;5.0;28.11225891113281;0.29676952958107
152;63.9900016784668;78.69999694824219;75.62999725341797;;;5.0;43.37590408325195;0.5965031385421753
153;3.960000038146973;93.05999755859376;66.77999877929689;38.40999984741211;;;83.09415435791016;0.2318003922700882
154;0.0;40.11999893188477;45.20000076293945;66.83999633789064;;6.0;30.76004028320313;0.7969092726707458
155;100.0;89.6500015258789;87.66999816894531;82.02999877929688;;9.0;193.4322052001953;0.0299936309456825
156;86.20999908447266;78.2699966430664;82.88999938964844;;5.171027183532715;8.0;91.8031005859375;0.380100429058075
157;19.79999923706055;65.08999633789064;56.81000137329102;88.91999816894531;;8.0;86.40476989746094;
158;87.80000305175781;84.61000061035156;86.52999877929688;;4.702406406402588;7.0;76.38966369628906;0.2429529279470444
159;3.960000038146973;39.16999816894531;27.54000091552734;0.0;;1.0;14.50327587127686;0.879173994064331
160;79.44000244140625;76.55000305175781;69.54000091552734;63.36000061035156;;6.0;31.20551681518555;0.3201470375061035
161;0.0;64.95999908447266;59.5;;;3.0;23.47585678100586;0.7774150967597961
162;97.5199966430664;94.13999938964844;88.62999725341797;83.55999755859375;4.704154014587402;;32.66738891601563;0.0626387149095535
163;;;;;;2.0;20.15123176574707;0.8351509571075441
164;0.0;48.41999816894531;42.02999877929688;32.360000610351555;;2.0;8.149134635925293;0.7582045197486877
165;0.0099999997764826;84.27999877929688;70.12999725341797;86.04000091552734;;;44.95779037475586;0.2289066314697266
166;55.150001525878906;62.54999923706055;60.70000076293945;;;;49.02652359008789;0.6462162137031555
167;96.08000183105469;96.40000152587892;89.45999908447266;97.4499969482422;7.729036331176758;;45.03314971923828;0.0112135382369161
168;98.2300033569336;83.31999969482422;86.72000122070312;;8.057332992553711;;64.86270141601564;0.0266691353172064
169;83.33000183105469;66.0;63.31999969482422;61.900001525878906;;2.0;;0.9095214009284972
170;49.33000183105469;71.29000091552734;72.58999633789062;;;4.0;9.055172920227053;0.9346657395362854
171;71.27999877929688;71.79000091552734;69.41000366210939;87.01000213623047;;5.0;69.42864227294922;0.7874404191970825
172;0.0;41.599998474121094;45.56000137329102;0.0;;6.0;44.498451232910156;0.6977930665016174
173;27.05999946594238;84.79000091552734;72.69000244140625;85.55000305175781;;;18.49945831298828;
174;59.47999954223633;92.29000091552734;76.36000061035156;44.65999984741211;;;59.54455947875977;0.1927927732467651
175;94.62999725341795;71.80999755859375;70.66999816894531;100.0;;10.0;99.10015106201172;
176;82.05999755859375;80.81999969482422;77.38999938964844;76.08000183105469;;6.0;45.56956481933594;0.218164786696434
177;78.98999786376953;76.41000366210938;65.70999908447266;48.959999084472656;5.874829769134522;8.0;23.76433563232422;0.5957161784172058
178;69.69999694824219;70.02999877929689;71.3499984741211;;;7.0;73.25810241699219;0.9191325306892396
179;;;;;;;;
180;32.700000762939446;51.59000015258789;57.5;;;7.0;17.75863456726074;0.7047901749610901
181;73.31999969482422;83.08999633789062;78.45999908447266;93.05999755859376;;2.0;48.59296035766602;0.7171506285667419
182;58.790000915527344;79.18000030517578;74.70999908447266;;;6.0;47.66285705566406;0.7779576182365417
183;78.54000091552734;66.56999969482422;65.9800033569336;92.61000061035156;;5.0;14.244131088256841;0.7480600476264954
184;98.94000244140624;92.91000366210938;88.97000122070312;96.15000152587892;6.402063846588135;;28.0746021270752;0.0759835243225098
185;45.47000122070313;46.47000122070313;57.45000076293945;90.77999877929688;;6.0;19.41418075561523;0.5556101202964783
186;84.16000366210938;93.52999877929688;84.5199966430664;99.58000183105469;6.1655821800231925;;13.65646457672119;0.0595214776694775
187;0.0;37.66999816894531;43.709999084472656;;;6.0;25.6508674621582;0.4299718141555786
188;47.459999084472656;96.45999908447266;74.23999786376953;62.63000106811523;;8.0;23.54266166687012;0.073088102042675
189;0.0;77.6500015258789;64.7699966430664;;;4.0;23.0808219909668;0.8685930371284485
190;70.2300033569336;81.0999984741211;77.56999969482422;87.97000122070312;;2.0;24.76497840881348;0.8884572982788086
191;48.13000106811523;83.69999694824219;69.62999725341797;49.959999084472656;;;27.80995941162109;
192;0.0;56.97999954223633;47.52000045776367;94.38999938964844;;2.0;21.48374748229981;0.8906013369560242
193;58.09000015258789;58.849998474121094;65.41000366210939;;;6.0;38.82242965698242;0.3058744072914124
